City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
221,Guican,6.4618,-72.4113,56.39,84,96,1.32
222,Albury,-36.0833,146.9167,57.02,100,30,5.01
223,Mumford,5.2618,-0.759,79.16,82,100,12.66
224,Krasnoselkup,65.7,82.4667,22.42,95,100,20.02
225,Hailin,44.5833,129.4167,35.01,42,26,3.36
226,Salym,60.0625,71.4789,31.69,94,100,6.46
227,Aklavik,68.2191,-135.0107,11.79,78,16,11.83
228,Pevek,69.7008,170.3133,6.82,93,100,6.35
229,La Ronge,55.1001,-105.2842,28.72,70,100,5.59
230,Urdoma,61.7533,48.5442,20.79,98,47,2.13
231,Rio Gallegos,-51.6226,-69.2181,51.85,71,75,11.5
232,Frolovo,49.7713,43.6622,47.39,68,100,7.94
233,Baijiantan,45.6333,85.1833,52.59,15,0,7.52
234,Ribeira Grande,38.5167,-28.7,60.62,78,34,14.74
235,Tarata,-17.6167,-66.0167,74.62,39,3,5.97
236,Guerrero Negro,27.9769,-114.0611,67.42,63,100,22.62
237,Rustenburg,-25.6676,27.2421,58.19,93,98,11.48
238,Sao Jose Da Coroa Grande,-8.8978,-35.1478,81.39,82,6,10.6
239,Mattru,7.6244,-11.8332,79.97,70,99,4.23
240,Yar-Sale,66.8333,70.8333,12.88,92,99,14.5
241,Provideniya,64.3833,-173.3,31.82,91,98,12.66
242,Touros,-5.1989,-35.4608,80.94,80,76,7.25
243,Kavieng,-2.5744,150.7967,81.99,78,50,8.68
244,Nabire,-3.3667,135.4833,75.79,93,98,2.51
245,Nipawin,53.3668,-104.0009,28.4,63,100,4.63
246,Thompson,55.7435,-97.8558,26.06,57,100,2.71
247,Sampit,-2.5333,112.95,72.23,97,100,1.68
248,Tuktoyaktuk,69.4541,-133.0374,3.54,79,34,4.92
249,Tigzirt,36.8886,4.1198,56.28,82,0,9.04
250,Tual,-5.6667,132.75,83.62,74,100,4.94
251,Lorengau,-2.0226,147.2712,81.27,80,39,4.63
252,Airai,-8.9266,125.4092,59.14,92,64,2.35
253,Eureka,40.8021,-124.1637,57.13,57,21,7.0
254,Houma,29.5958,-90.7195,86.0,74,49,8.01
255,Vestmanna,62.1564,-7.1664,47.32,87,100,18.41
256,Victoria,22.2855,114.1577,71.19,75,100,15.99
257,Am Timan,11.0297,20.2827,91.71,28,37,3.29
258,Khilok,51.3674,110.4676,27.12,89,27,2.98
259,Marystown,47.1666,-55.1483,48.85,100,9,7.0
260,Bengkulu,-3.8004,102.2655,76.89,89,100,3.0
261,Ayni,39.3941,68.5377,61.3,57,100,4.54
262,Havre-Saint-Pierre,50.2334,-63.5986,36.72,75,55,19.69
263,Sorong,-0.8833,131.25,81.0,83,75,12.97
264,Tabou,4.423,-7.3528,79.84,80,98,8.16
265,Kununurra,-15.7667,128.7333,75.18,88,20,0.0
266,Leningradskiy,69.3833,178.4167,6.21,94,64,8.32
